GRAND PRIX,DATE,WINNER,CAR,LAPS,TIME,year
Germany,20 Jul 2014,Nico Rosberg,MERCEDES,67,1:33:42.914,2014
Hungary,27 Jul 2014,Daniel Ricciardo,RED BULL RACING RENAULT,70,1:53:05.058,2014
Belgium,24 Aug 2014,Daniel Ricciardo,RED BULL RACING RENAULT,44,1:24:36.556,2014
Italy,07 Sep 2014,Lewis Hamilton,MERCEDES,53,1:19:10.236,2014
Singapore,21 Sep 2014,Lewis Hamilton,MERCEDES,60,2:00:04.795,2014
Japan,05 Oct 2014,Lewis Hamilton,MERCEDES,44,1:51:43.021,2014
Russia,21 Oct 2014,Lewis Hamilton,MERCEDES,53,1:31:50.744,2014
United States,02 Nov 2014,Lewis Hamilton,MERCEDES,56,1:40:04.785,2014
Brazil,09 Nov 2014,Nico Rosberg,MERCEDES,71,1:30:02.555,2014
Abu Dhabi,23 Nov 2014,Lewis Hamilton,MERCEDES,55,1:39:02.619,2014
Australia,15 Mar 2015,Lewis Hamilton,MERCEDES,58,1:31:54.067,2015
Malaysia,29 Mar 2015,Sebastian Vettel,FERRARI,56,1:41:05.793,2015
China,12 Apr 2015,Lewis Hamilton,MERCEDES,56,1:39:42.008,2015
Bahrain,19 Apr 2015,Lewis Hamilton,MERCEDES,57,1:35:05.809,2015
Spain,10 May 2015,Nico Rosberg,MERCEDES,66,1:41:12.555,2015
Monaco,24 May 2015,Nico Rosberg,MERCEDES,78,1:49:18.420,2015
Canada,07 Jun 2015,Lewis Hamilton,MERCEDES,70,1:31:53.145,2015
Austria,21 Jun 2015,Nico Rosberg,MERCEDES,71,1:30:16.930,2015
Great Britain,05 Jul 2015,Lewis Hamilton,MERCEDES,52,1:31:27.729,2015
Hungary,26 Jul 2015,Sebastian Vettel,FERRARI,69,1:46:09.985,2015
Belgium,23 Aug 2015,Lewis Hamilton,MERCEDES,43,1:23:40.387,2015
Italy,06 Sep 2015,Lewis Hamilton,MERCEDES,53,1:18:00.688,2015
Singapore,20 Sep 2015,Sebastian Vettel,FERRARI,61,2:01:22.118,2015
Japan,27 Sep 2015,Lewis Hamilton,MERCEDES,53,1:28:06.508,2015
Russia,11 Oct 2015,Lewis Hamilton,MERCEDES,53,1:37:11.024,2015
United States,25 Oct 2015,Lewis Hamilton,MERCEDES,56,1:50:52.703,2015
Mexico,01 Nov 2015,Nico Rosberg,MERCEDES,71,1:42:35.038,2015
Brazil,15 Nov 2015,Nico Rosberg,MERCEDES,71,1:31:09.090,2015
Abu Dhabi,29 Nov 2015,Nico Rosberg,MERCEDES,55,1:38:30.175,2015
Australia,20 Mar 2016,Nico Rosberg,MERCEDES,57,1:48:15.565,2016
Bahrain,03 Apr 2016,Nico Rosberg,MERCEDES,57,1:33:34.696,2016
China,17 Apr 2016,Nico Rosberg,MERCEDES,56,1:38:53.891,2016
Russia,01 May 2016,Nico Rosberg,MERCEDES,53,1:32:41.997,2016
Spain,15 May 2016,Max Verstappen,RED BULL RACING TAG HEUER,66,1:41:40.017,2016
Monaco,29 May 2016,Lewis Hamilton,MERCEDES,78,1:59:29.133,2016
Canada,12 Jun 2016,Lewis Hamilton,MERCEDES,70,1:31:05.296,2016
Europe,19 Jun 2016,Nico Rosberg,MERCEDES,51,1:32:52.366,2016
Austria,03 Jul 2016,Lewis Hamilton,MERCEDES,71,1:27:38.107,2016
Great Britain,10 Jul 2016,Lewis Hamilton,MERCEDES,52,1:34:55.831,2016
Hungary,24 Jul 2016,Lewis Hamilton,MERCEDES,70,1:40:30.115,2016
Germany,31 Jul 2016,Lewis Hamilton,MERCEDES,67,1:30:44.200,2016
Belgium,28 Aug 2016,Nico Rosberg,MERCEDES,44,1:44:51.058,2016
Italy,04 Sep 2016,Nico Rosberg,MERCEDES,53,1:17:28.089,2016
